shape,seed,stat,ai
bimodal,55,kurtosis,-0.10236220472440957
bimodal,56,mean,0.7450980392156864
bimodal,56,variance,0.34060402684563784
bimodal,56,kurtosis,-0.12318840579710137
bimodal,57,mean,0.5845588235294119
bimodal,57,variance,-0.008849557522123902
bimodal,57,kurtosis,-0.10204081632653071
bimodal,58,mean,0.7954545454545455
bimodal,58,variance,0.10220125786163528
bimodal,58,kurtosis,0.18396226415094324
bimodal,59,mean,0.5014204545454546
bimodal,59,variance,0.5177419354838712
bimodal,59,kurtosis,0.10256410256410266
bimodal,60,mean,0.4177018633540371
bimodal,60,variance,0.3633333333333333
bimodal,60,kurtosis,-0.1312500000000001
bimodal,61,mean,0.5669642857142856
bimodal,61,variance,0.20967741935483894
bimodal,61,kurtosis,0.24257425742574273
bimodal,62,mean,0.5512048192771084
bimodal,62,variance,0.126068376068376
bimodal,62,kurtosis,-0.0029585798816567418
bimodal,63,mean,0.3343373493975904
bimodal,63,variance,0.37288135593220306
bimodal,63,kurtosis,-0.1318897637795275
bimodal,64,mean,0.5145161290322581
bimodal,64,variance,0.085185185185185
bimodal,64,kurtosis,-0.25572519083969464
bimodal,65,mean,0.5157142857142859
bimodal,65,variance,0.29166666666666674
bimodal,65,kurtosis,0.3435251798561152
bimodal,66,mean,0.7777777777777776
bimodal,66,variance,0.0971428571428571
bimodal,66,kurtosis,-0.2758620689655172
bimodal,67,mean,0.6843575418994412
bimodal,67,variance,0.06953642384105958
bimodal,67,kurtosis,-0.22514619883040937
bimodal,68,mean,0.5473372781065089
bimodal,68,variance,0.19557823129251703
bimodal,68,kurtosis,0.04918032786885237
bimodal,69,mean,0.8859374999999999
bimodal,69,variance,0.33918128654970764
bimodal,69,kurtosis,-0.055970149253731484
bimodal,70,mean,0.3039568345323741
bimodal,70,variance,0.39285714285714257
bimodal,70,kurtosis,-0.3677536231884057
bimodal,71,mean,0.3049450549450549
bimodal,71,variance,-0.01773049645390049
bimodal,71,kurtosis,0.028017241379310137
bimodal,72,mean,0.27424242424242407
bimodal,72,variance,0.039308176100628936
bimodal,72,kurtosis,-0.09633027522935779
bimodal,73,mean,0.6390449438202249
bimodal,73,variance,0.24999999999999992
bimodal,73,kurtosis,-0.3017857142857144
bimodal,74,mean,0.46016483516483503
bimodal,74,variance,-0.1981707317073171
bimodal,74,kurtosis,-0.4160156250000002
bimodal,75,mean,0.5072992700729929
bimodal,75,variance,0.3674242424242425
bimodal,75,kurtosis,0.173758865248227
bimodal,76,mean,0.4640883977900552
bimodal,76,variance,0.004504504504504407
bimodal,76,kurtosis,0.019396551724137914
bimodal,77,mean,0.6023622047244094
bimodal,77,variance,0.19214876033057846
bimodal,77,kurtosis,0.043103448275862294
bimodal,78,mean,0.6296296296296298
bimodal,78,variance,0.09431137724550881
bimodal,78,kurtosis,0.052521008403361324
bimodal,79,mean,0.28415300546448097
bimodal,79,variance,0.2805851063829789
bimodal,79,kurtosis,-0.3161764705882353
bimodal,80,mean,0.29437869822485235
bimodal,80,variance,0.23516949152542366
bimodal,80,kurtosis,-0.13740458015267187
bimodal,81,mean,0.5013966480446927
bimodal,81,variance,0.08474576271186438
bimodal,81,kurtosis,-0.24107142857142858
bimodal,82,mean,0.7519083969465647
bimodal,82,variance,0.22678571428571423
bimodal,82,kurtosis,-0.35526315789473706
bimodal,83,mean,0.5027027027027028
bimodal,83,variance,-0.010162601626016229
bimodal,83,kurtosis,-0.1178861788617886
bimodal,84,mean,0.5857142857142856
bimodal,84,variance,-0.08152173913043483
bimodal,84,kurtosis,-0.31569343065693445
bimodal,85,mean,0.3728571428571428
bimodal,85,variance,0.302536231884058
bimodal,85,kurtosis,0.09683098591549305
bimodal,86,mean,0.4037433155080214
bimodal,86,variance,0.11580882352941156
bimodal,86,kurtosis,0.018939393939393867
bimodal,87,mean,0.7777777777777772
bimodal,87,variance,-0.21900826446281002
bimodal,87,kurtosis,0.04964539007092218
bimodal,88,mean,0.5446927374301676
bimodal,88,variance,0.029720279720279713
bimodal,88,kurtosis,-0.05960264900662241
bimodal,89,mean,0.4899999999999996
bimodal,89,variance,0.2988281250000003
bimodal,89,kurtosis,-0.3241525423728815
bimodal,90,mean,0.4822695035460993
bimodal,90,variance,0.33557046979865757
bimodal,90,kurtosis,0.12500000000000022
bimodal,91,mean,0.6458333333333335
bimodal,91,variance,-0.06423611111111098
bimodal,91,kurtosis,-0.20075757575757563
bimodal,92,mean,0.5142857142857142
bimodal,92,variance,0.265923566878981
bimodal,92,kurtosis,-0.200787401574803
bimodal,93,mean,0.4910714285714282
bimodal,93,variance,-0.10666666666666676
bimodal,93,kurtosis,0.14072847682119197
bimodal,94,mean,0.38953488372093026
bimodal,94,variance,-0.012048192771084347
bimodal,94,kurtosis,-0.006944444444444295
bimodal,95,mean,0.342741935483871
bimodal,95,variance,-0.01223776223776229
